,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
0,0,2,0,0,1,0.0,0.13333333333333333,421
1,1,2,0,0,1,0.0,0.13333333333333333,421
2,2,2,0,0,1,0.0,0.13333333333333333,421
3,3,4,0,0,1,0.0,0.13333333333333333,542
4,4,2,0,0,1,0.0,0.13333333333333333,421
5,5,2,0,0,1,0.0,0.13333333333333333,421
6,6,2,0,0,1,0.0,0.13333333333333333,421
7,7,2,0,0,1,0.0,0.13333333333333333,421
8,8,2,0,1,1,0.0,0.13333333333333333,421
9,9,5,0,0,1,0.3333333333333333,0.13333333333333336,464
10,10,2,0,0,1,0.0,0.13333333333333333,421
11,11,2,0,0,1,0.0,0.13333333333333333,421
12,12,2,0,1,1,0.0,0.13333333333333333,421
13,13,2,0,0,1,0.0,0.13333333333333333,421
14,14,2,0,0,1,0.0,0.13333333333333333,421
15,15,4,0,0,1,0.0,0.13333333333333333,542
16,16,2,0,0,1,0.0,0.13333333333333333,421
17,17,8,0,1,1,0.0,0.26666666666666666,664
18,18,2,0,0,1,0.0,0.13333333333333333,421
19,19,8,0,1,1,0.0,0.26666666666666666,664
20,20,2,0,0,1,0.0,0.13333333333333333,421
21,21,2,0,0,1,0.0,0.13333333333333333,421
22,22,2,0,0,1,0.0,0.13333333333333333,421
23,23,2,0,1,1,0.0,0.13333333333333333,421
24,24,2,0,0,1,0.0,0.13333333333333333,421
25,25,3,0,0,1,0.0,0.0,456
26,26,2,0,1,1,0.0,0.13333333333333333,421
27,27,7,0,0,1,0.2,-0.13333333333333336,446
28,28,8,0,0,1,0.0,0.26666666666666666,664
29,29,8,0,1,1,0.0,0.26666666666666666,664
30,30,2,0,0,1,0.0,0.13333333333333333,421
31,31,2,0,0,1,0.0,0.13333333333333333,421
32,32,2,0,0,1,0.0,0.13333333333333333,421
33,33,2,0,1,1,0.06666666666666667,0.06666666666666667,421
34,34,2,0,0,1,0.0,0.13333333333333333,421
35,35,2,0,0,1,0.0,0.13333333333333333,421
36,36,2,0,0,1,0.0,0.13333333333333333,421
37,37,3,0,0,1,0.0,0.0,456
38,38,8,0,0,1,0.0,0.26666666666666666,664
39,39,7,0,0,1,0.7333333333333333,-0.6666666666666666,446
40,40,2,0,0,1,0.0,0.13333333333333333,421
41,41,6,0,0,1,0.13333333333333333,0.0,571
42,42,2,0,0,1,0.0,0.13333333333333333,421
43,43,2,0,1,1,0.0,0.13333333333333333,421
