,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
0,0,2,0,0,5,0.0,0.0,110
1,1,4,0,0,4,0.0,0.0,995
2,2,2,0,0,5,0.0,0.0,102
3,3,2,1,0,3,0.0,0.0,4366
4,4,2,0,0,5,0.0,0.0,14
5,5,2,1,0,4,0.0,0.0,116
6,6,0,0,0,5,0.0,0.0,216
7,7,2,1,0,4,0.0,0.0,127
8,8,2,0,1,5,0.0,0.0,108
9,9,2,0,0,4,0.3333333333333333,-0.3333333333333333,117
10,10,2,0,0,5,0.0,0.0,110
11,11,2,1,0,3,0.0,0.0,220
12,12,2,0,1,5,0.0,0.0,102
13,13,1,1,0,3,0.0,0.0,133
14,14,2,1,0,4,0.0,0.0,114
15,15,4,1,0,3,0.0,0.0,4090
16,16,0,0,0,5,0.0,0.0,216
17,17,0,0,1,5,0.0,0.0,28
18,18,2,0,0,5,0.0,0.0,108
19,19,2,0,1,5,0.0,0.0,7
20,20,2,0,0,5,0.0,0.0,110
21,21,2,1,0,3,0.0,0.0,321
22,22,4,0,0,5,0.0,0.0,1016
23,23,4,0,1,4,0.0,0.0,1137
24,24,2,0,0,5,0.0,0.0,14
25,25,2,1,0,3,0.0,0.0,205
26,26,0,0,1,5,0.0,0.0,216
27,27,4,1,0,3,0.2,0.0,4102
28,28,0,1,0,4,0.0,0.0,118
29,29,3,0,1,4,0.0,0.0,2983
30,30,0,0,0,5,0.0,0.0,1114
31,31,2,1,0,4,0.0,0.0,4106
32,32,0,0,0,5,0.0,0.0,52
33,33,4,0,1,4,0.06666666666666667,-0.06666666666666667,1207
34,34,0,0,0,5,0.0,0.0,244
35,35,2,1,0,4,0.0,0.0,335
36,36,2,1,0,4,0.0,0.0,44
37,37,4,1,0,2,0.0,0.0,325
38,38,0,0,0,5,0.0,0.0,28
39,39,1,1,0,2,0.7333333333333333,0.0,446
40,40,2,0,0,5,0.0,0.13333333333333333,50
41,41,2,0,0,4,0.13333333333333333,-0.06666666666666667,1035
42,42,0,0,0,5,0.0,0.0,52
43,43,3,0,1,5,0.0,0.0,2036
44,44,0,1,0,3,0.0,0.0,1228
45,45,1,0,1,4,0.13333333333333333,0.0,1039
46,46,2,0,0,5,0.0,0.0,146
47,47,1,0,1,5,0.0,0.0,155
48,48,2,0,0,5,0.0,0.0,148
49,49,2,1,0,2,0.26666666666666666,0.0,4304
50,50,2,1,0,4,0.13333333333333333,0.0,160
51,51,2,0,1,4,0.0,0.0,1225
52,52,0,1,0,4,0.0,0.0,160
53,53,2,1,0,4,0.26666666666666666,0.0,2046
54,54,0,0,0,5,0.0,0.0,244
55,55,2,1,0,4,0.0,0.0,247
56,56,4,1,0,4,0.0,0.0,256
57,57,4,1,0,2,0.5333333333333333,0.0,237
58,58,4,1,0,4,0.0,0.0,348
59,59,2,0,0,4,0.0,0.06666666666666667,359
60,60,2,0,0,5,0.3333333333333333,-0.19999999999999998,50
61,61,3,0,1,4,0.26666666666666666,-0.26666666666666666,4196
62,62,0,0,0,5,0.13333333333333333,-0.13333333333333333,52
63,63,2,1,0,3,0.13333333333333333,0.0,4318
64,64,4,1,0,4,0.13333333333333333,0.0,2154
65,65,4,0,1,5,0.4,-0.4,245
66,66,4,0,0,5,0.0,0.0,56
67,67,0,1,0,4,0.0,0.0,247
68,68,4,0,1,5,0.0,0.0,58
69,69,2,0,1,4,0.8,0.0,2062
70,70,2,0,1,5,0.3333333333333333,-0.19999999999999998,50
71,71,4,1,0,4,0.6,0.0,172
72,72,1,0,0,5,0.3333333333333333,0.06666666666666671,182
73,73,4,1,0,2,0.26666666666666666,0.0,253
74,74,0,1,0,4,0.13333333333333333,0.0,2154
75,75,2,0,0,4,0.3333333333333333,-0.19999999999999998,375
76,76,0,1,0,4,0.13333333333333333,0.0,256
77,77,0,0,0,4,0.5333333333333333,-0.2,4032
78,78,2,0,0,5,0.13333333333333333,-0.13333333333333333,178
79,79,2,0,1,5,0.13333333333333333,-0.13333333333333333,259
80,80,2,0,0,5,0.6666666666666666,-0.1333333333333333,180
81,81,2,1,0,3,1.0,0.0,273
82,82,1,0,0,5,0.4,0.0,182
83,83,2,0,0,4,0.7333333333333333,-0.19999999999999996,383
84,84,0,0,1,5,0.3333333333333333,0.13333333333333336,194
85,85,4,1,0,3,0.26666666666666666,0.0,73
86,86,1,0,0,5,0.3333333333333333,-0.19999999999999998,286
87,87,4,1,0,3,0.5333333333333333,0.0,267
88,88,0,0,0,5,0.13333333333333333,0.19999999999999998,198
89,89,2,1,0,3,0.6,0.0,2361
90,90,2,0,1,5,0.7333333333333333,-0.19999999999999996,180
91,91,2,0,0,4,0.7333333333333333,-0.19999999999999996,3226
92,92,1,0,0,5,0.6666666666666666,-0.2666666666666666,182
93,93,4,0,1,5,1.0,0.0,1087
94,94,0,0,0,5,0.4666666666666667,0.0,194
95,95,4,0,1,5,0.7333333333333333,-0.4666666666666666,275
96,96,1,0,1,5,0.3333333333333333,-0.19999999999999998,286
97,97,4,0,0,3,0.3333333333333333,-0.19999999999999998,695
98,98,0,0,0,5,0.3333333333333333,0.0,198
99,99,1,0,1,3,0.9333333333333333,-0.33333333333333337,4354
100,100,2,0,1,5,0.0,0.0,110
101,101,1,0,0,5,0.0,0.0,3067
102,102,2,1,0,4,0.0,0.0,4067
103,103,2,1,0,4,0.0,0.0,223
104,104,0,1,0,4,0.0,0.0,114
105,105,2,0,0,4,0.0,0.13333333333333333,404
106,106,0,0,1,5,0.0,0.0,216
107,107,0,1,0,4,0.0,0.0,335
108,108,2,1,0,4,0.0,0.0,118
109,109,2,0,1,3,0.4666666666666667,-0.2,49
110,110,2,1,0,4,0.0,0.0,1104
111,111,2,1,0,2,0.0,0.0,1525
112,112,2,0,0,5,0.0,0.0,102
113,113,0,0,0,5,0.0,0.13333333333333333,412
114,114,0,1,0,3,0.0,0.0,4169
115,115,0,1,0,4,0.0,0.0,223
116,116,2,1,0,3,0.0,0.0,4169
117,117,2,1,0,3,0.0,0.0,309
118,118,4,1,0,3,0.0,0.0,246
119,119,3,1,0,4,0.0,0.0,335
120,120,0,0,1,5,0.0,0.0,1114
121,121,1,1,0,2,0.0,0.0,222
122,122,4,0,1,5,0.0,0.0,1016
123,123,2,0,0,4,0.0,0.0,1997
124,124,2,0,0,5,0.0,0.0,14
125,125,2,1,0,4,0.0,0.0,1107
126,126,0,0,0,5,0.0,0.0,216
127,127,2,1,0,3,0.0,0.0,1121
128,128,0,0,0,5,0.0,0.0,28
129,129,0,1,0,3,0.3333333333333333,0.0,309
130,130,0,0,0,5,0.0,0.0,1114
131,131,0,0,0,4,0.0,0.0,1125
132,132,0,0,1,5,0.0,0.0,52
133,133,2,1,0,2,0.0,0.0,1415
134,134,0,0,1,5,0.0,0.0,244
135,135,4,0,1,4,0.0,0.0,255
136,136,2,0,0,5,0.0,0.0,36
137,137,4,1,0,4,0.0,0.0,436
138,138,2,1,0,1,0.0,0.0,545
139,139,0,0,1,5,0.0,0.0,67
140,140,2,0,0,5,0.0,0.13333333333333333,50
141,141,4,1,0,3,0.2,0.0,321
142,142,0,0,0,5,0.0,0.0,52
143,143,4,0,0,4,0.0,0.0,1137
144,144,0,0,1,5,0.0,0.0,244
145,145,2,0,0,3,0.0,0.0,37
146,146,2,1,0,4,0.0,0.0,256
147,147,2,1,0,3,0.06666666666666667,0.0,4102
148,148,2,1,0,4,0.0,0.0,348
149,149,0,0,1,4,0.0,0.0,1203
150,150,2,0,1,5,0.13333333333333333,0.0,50
151,151,4,0,1,4,0.13333333333333333,0.19999999999999998,4406
152,152,0,0,0,5,0.0,0.0,52
153,153,4,1,0,3,0.26666666666666666,0.0,273
154,154,0,0,0,5,0.0,0.0,244
155,155,1,1,0,4,0.0,0.0,335
156,156,4,0,0,5,0.0,0.0,56
157,157,2,0,1,4,0.0,0.0,456
158,158,4,0,0,5,0.0,0.0,58
159,159,2,1,0,3,0.6,0.0,458
160,160,2,1,0,3,0.13333333333333333,0.0,242
161,161,2,0,0,4,0.6,0.06666666666666665,2151
162,162,0,0,0,5,0.13333333333333333,-0.13333333333333333,52
163,163,2,1,0,3,0.13333333333333333,0.0,271
164,164,2,1,0,4,0.13333333333333333,0.0,284
165,165,2,1,0,3,0.5333333333333333,0.0,57
166,166,4,0,1,5,0.0,0.0,56
167,167,2,1,0,4,0.0,0.0,475
168,168,4,0,1,5,0.0,0.0,58
169,169,4,1,0,2,0.06666666666666667,0.0,4304
170,170,2,0,0,5,0.3333333333333333,0.2,180
171,171,2,1,0,4,0.13333333333333333,0.0,1165
172,172,2,1,0,3,0.3333333333333333,0.0,280
