,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
0,0,3,0,0,5,0.0,0.0,2004
1,1,1,1,0,3,0.0,0.0,301
2,2,1,0,0,5,0.0,0.0,112
3,3,1,1,0,3,0.0,0.0,123
4,4,1,0,0,5,0.0,0.0,14
5,5,3,1,0,4,0.0,0.0,126
6,6,4,0,0,5,0.0,0.0,116
7,7,3,1,0,3,0.0,0.0,226
8,8,1,0,1,5,0.0,0.0,18
9,9,1,1,0,3,0.3333333333333333,0.0,2295
10,10,1,0,0,5,0.0,0.0,20
11,11,1,1,0,4,0.0,0.0,4065
12,12,1,0,1,5,0.0,0.0,112
13,13,4,1,0,2,0.0,0.0,420
14,14,1,1,0,4,0.0,0.0,314
15,15,0,0,0,3,0.0,0.0,4090
16,16,4,0,0,5,0.0,0.0,116
17,17,1,0,1,4,0.0,0.0,317
18,18,1,1,0,4,0.0,0.0,126
19,19,3,0,1,4,0.0,0.06666666666666667,307
20,20,1,1,0,4,0.0,0.0,1114
21,21,0,0,0,4,0.0,0.0,3976
22,22,1,0,0,5,0.0,0.0,112
23,23,1,0,1,5,0.0,0.0,143
24,24,3,1,0,4,0.0,0.0,314
25,25,1,1,0,3,0.0,0.0,205
26,26,4,0,1,5,0.0,0.0,116
27,27,3,0,0,3,0.2,-0.13333333333333336,327
28,28,1,0,0,5,0.0,0.0,128
29,29,1,0,1,4,0.0,0.0,317
30,30,1,0,0,5,0.0,0.0,20
31,31,1,0,0,4,0.0,0.0,211
32,32,1,0,0,5,0.0,0.0,52
33,33,1,0,1,4,0.06666666666666667,-0.06666666666666667,333
34,34,2,0,0,5,0.0,0.0,234
35,35,0,0,0,4,0.0,0.0,2204
36,36,2,0,0,5,0.0,0.0,136
37,37,3,1,0,3,0.0,0.0,217
38,38,3,1,0,4,0.0,0.0,138
39,39,1,0,0,3,0.7333333333333333,-0.19999999999999996,339
40,40,2,1,0,4,0.0,0.0,50
41,41,2,1,0,4,0.13333333333333333,0.0,3225
42,42,1,0,0,5,0.0,0.0,52
43,43,3,0,1,4,0.0,0.0,223
44,44,3,0,0,5,0.0,0.0,54
45,45,1,0,1,4,0.13333333333333333,-0.06666666666666667,345
46,46,2,0,0,5,0.0,0.0,136
47,47,2,0,1,5,0.0,0.0,4111
48,48,2,0,0,5,0.0,0.0,148
49,49,3,1,0,3,0.26666666666666666,0.0,4304
50,50,1,1,0,3,0.13333333333333333,0.0,142
51,51,2,0,1,4,0.0,0.0,4006
52,52,1,1,0,4,0.0,0.0,50
53,53,1,0,0,4,0.26666666666666666,0.39999999999999997,2151
54,54,3,1,0,4,0.0,0.0,244
55,55,1,1,0,3,0.0,0.0,2223
56,56,3,0,0,4,0.0,0.0,156
57,57,1,0,0,4,0.5333333333333333,-0.26666666666666666,357
58,58,0,0,0,5,0.0,0.0,158
59,59,2,0,0,4,0.0,0.0,167
60,60,3,0,0,5,0.3333333333333333,-0.19999999999999998,160
61,61,0,0,1,3,0.26666666666666666,-0.26666666666666666,241
62,62,1,0,0,5,0.13333333333333333,-0.13333333333333333,52
63,63,4,1,0,1,0.13333333333333333,0.0,542
64,64,1,1,0,4,0.13333333333333333,0.0,174
65,65,2,0,1,4,0.4,0.2666666666666666,1167
66,66,3,0,0,4,0.0,0.0,156
67,67,3,0,0,4,0.0,0.0,247
68,68,0,0,1,5,0.0,0.0,158
69,69,3,0,1,4,0.8,-0.46666666666666673,249
70,70,3,0,1,5,0.3333333333333333,0.3333333333333333,80
71,71,2,1,0,4,0.6,0.0,182
72,72,1,0,0,5,0.3333333333333333,0.0,172
73,73,1,1,0,3,0.26666666666666666,0.0,181
74,74,4,1,0,4,0.13333333333333333,0.0,174
75,75,0,0,0,3,0.3333333333333333,-0.19999999999999998,4330
76,76,3,0,0,4,0.13333333333333333,-0.13333333333333333,156
77,77,1,0,0,4,0.5333333333333333,-0.5333333333333333,278
78,78,1,0,0,4,0.13333333333333333,-0.13333333333333333,278
79,79,1,0,1,4,0.13333333333333333,-0.13333333333333333,379
80,80,3,1,0,4,0.6666666666666666,0.0,182
81,81,1,1,0,3,1.0,0.0,2260
82,82,1,0,0,5,0.4,-0.06666666666666671,172
83,83,3,0,0,4,0.7333333333333333,-0.6,263
84,84,4,0,1,5,0.3333333333333333,-0.19999999999999998,74
85,85,3,1,0,3,0.26666666666666666,0.0,385
86,86,2,0,0,4,0.3333333333333333,-0.19999999999999998,286
87,87,1,0,0,3,0.5333333333333333,0.0,339
88,88,3,0,0,4,0.13333333333333333,0.0,188
89,89,1,1,0,3,0.6,0.0,2256
90,90,3,0,1,5,0.7333333333333333,-0.06666666666666665,80
91,91,2,0,0,4,0.7333333333333333,-0.2666666666666666,271
92,92,0,0,0,5,0.6666666666666666,0.0,292
93,93,4,0,1,4,1.0,0.0,2376
94,94,2,0,0,5,0.4666666666666667,0.0,194
95,95,1,0,1,4,0.7333333333333333,-0.6,1180
96,96,2,0,1,4,0.3333333333333333,-0.19999999999999998,286
97,97,1,0,0,3,0.3333333333333333,-0.3333333333333333,277
98,98,3,0,0,4,0.3333333333333333,-0.19999999999999998,188
99,99,2,0,1,3,0.9333333333333333,-0.33333333333333337,4354
100,100,2,0,1,5,0.0,0.13333333333333333,300
101,101,1,0,0,5,0.0,0.26666666666666666,400
102,102,1,0,0,5,0.0,0.0,112
103,103,3,0,0,4,0.0,0.0,223
104,104,1,0,0,5,0.0,0.0,14
105,105,2,0,0,4,0.0,0.0,1207
106,106,4,0,1,5,0.0,0.0,116
107,107,1,1,0,3,0.0,0.0,347
108,108,0,1,0,4,0.0,0.0,126
109,109,3,0,1,4,0.4666666666666667,-0.2,49
110,110,0,1,0,2,0.0,0.0,222
111,111,1,1,0,3,0.0,0.0,231
112,112,1,1,0,4,0.0,0.0,1006
113,113,3,0,0,4,0.0,0.0,1107
114,114,1,0,0,5,0.0,0.0,14
115,115,3,0,0,4,0.0,0.0,223
116,116,4,1,0,4,0.0,0.0,126
117,117,1,0,0,4,0.0,0.3333333333333333,9
118,118,4,1,0,4,0.0,0.0,138
119,119,1,0,0,4,0.0,0.0,107
120,120,3,0,1,5,0.0,0.0,130
121,121,1,0,0,4,0.0,0.0,1
122,122,1,0,1,5,0.0,0.0,112
123,123,0,1,0,2,0.0,0.0,303
124,124,3,0,0,5,0.0,0.0,24
125,125,1,0,0,4,0.0,0.0,305
126,126,1,1,0,3,0.0,0.0,226
127,127,3,0,0,4,0.0,0.06666666666666667,307
128,128,1,1,0,4,0.0,0.0,138
129,129,3,1,0,3,0.3333333333333333,0.0,2295
130,130,3,1,0,4,0.0,0.0,1114
131,131,3,1,0,4,0.0,0.0,342
132,132,1,0,1,5,0.0,0.0,242
133,133,4,0,0,3,0.0,0.0,13
134,134,2,0,1,5,0.0,0.0,234
135,135,3,0,1,3,0.0,0.0,255
136,136,2,1,0,4,0.0,0.0,126
137,137,1,0,0,4,0.0,0.0,317
138,138,1,1,0,3,0.0,0.0,246
139,139,3,0,1,4,0.0,0.0,247
140,140,2,0,0,5,0.0,0.0,40
141,141,1,0,0,4,0.2,0.06666666666666665,440
142,142,2,1,0,2,0.0,0.0,222
143,143,1,1,0,4,0.0,0.0,244
144,144,3,0,1,5,0.0,0.0,54
145,145,1,0,0,4,0.0,0.0,25
146,146,2,0,0,5,0.0,0.0,136
147,147,3,0,0,3,0.06666666666666667,0.0,327
148,148,2,1,0,4,0.0,0.0,138
149,149,1,0,1,4,0.0,0.0,317
150,150,3,0,1,5,0.13333333333333333,0.0,160
151,151,4,0,1,5,0.13333333333333333,0.19999999999999998,2257
152,152,1,0,0,5,0.0,0.0,242
153,153,3,0,0,4,0.26666666666666666,0.26666666666666666,165
154,154,3,0,0,5,0.0,0.0,54
155,155,3,0,0,4,0.0,0.06666666666666667,335
156,156,3,1,0,3,0.0,0.0,246
157,157,3,0,1,4,0.0,0.0,37
158,158,0,1,0,4,0.0,0.0,138
159,159,3,0,0,3,0.6,-0.1333333333333333,637
160,160,3,1,0,4,0.13333333333333333,0.0,50
161,161,1,0,0,4,0.6,0.06666666666666665,2151
162,162,1,0,0,5,0.13333333333333333,0.19999999999999998,172
163,163,2,0,0,4,0.13333333333333333,0.33333333333333337,271
164,164,3,0,0,5,0.13333333333333333,-0.13333333333333333,264
165,165,3,1,0,3,0.5333333333333333,0.0,2260
166,166,3,0,1,4,0.0,0.0,156
167,167,2,1,0,3,0.0,0.0,347
168,168,1,0,1,4,0.0,0.0,278
169,169,3,0,0,4,0.06666666666666667,0.2,49
170,170,1,0,0,5,0.3333333333333333,0.2,180
171,171,0,0,0,3,0.13333333333333333,0.0,4426
172,172,1,1,0,4,0.3333333333333333,0.0,182
173,173,2,0,0,4,0.6666666666666666,0.0,1167
174,174,1,1,0,3,0.13333333333333333,0.0,374
175,175,3,0,1,4,0.13333333333333333,-0.13333333333333333,247
176,176,2,0,0,4,0.13333333333333333,0.0,286
177,177,1,0,1,4,0.6666666666666666,-0.39999999999999997,357
178,178,1,0,0,4,0.0,0.0,278
179,179,3,0,1,4,0.13333333333333333,0.2666666666666667,299
180,180,1,1,0,4,0.5333333333333333,0.0,380
181,181,4,1,0,2,0.6666666666666666,0.0,372
182,182,2,1,0,3,0.4,0.0,280
183,183,3,0,0,3,0.3333333333333333,-0.3333333333333333,4318
184,184,0,0,1,5,0.3333333333333333,0.0,284
185,185,3,0,0,4,0.8,-0.4,2350
186,186,2,0,0,4,0.2,-0.06666666666666668,286
187,187,0,0,0,3,0.13333333333333333,0.4,4550
188,188,3,1,0,3,0.13333333333333333,0.0,386
189,189,1,0,0,3,0.8666666666666667,-0.06666666666666665,2469
190,190,1,0,0,5,0.7333333333333333,-0.19999999999999996,180
191,191,2,0,1,4,0.9333333333333333,-0.20000000000000007,4446
192,192,0,0,1,5,0.6666666666666666,0.0,292
193,193,1,0,0,4,0.6666666666666666,-0.39999999999999997,73
194,194,2,1,0,4,0.4666666666666667,0.0,174
195,195,0,0,1,3,0.4666666666666667,-0.33333333333333337,4330
196,196,2,0,1,4,0.3333333333333333,-0.19999999999999998,286
197,197,1,0,0,4,0.8666666666666667,-0.4,377
198,198,3,0,0,4,0.3333333333333333,-0.19999999999999998,188
199,199,1,0,1,4,0.3333333333333333,-0.3333333333333333,379
200,200,2,0,0,5,0.0,0.13333333333333333,300
201,201,3,0,0,4,0.0,0.0,1195
202,202,1,0,0,5,0.0,0.0,112
203,203,2,0,1,5,0.06666666666666667,-0.06666666666666667,304
